#time accidentals,Asymmetry, Asymmetry Err, Fraction, Fraction Err
time accidentals,0.0048,0.0053,0.0975,0.0015

#Nitrogen, Fraction, Fraction Err
Nitrogen,0.0178,0.0017

#pion,Asymmetry, Asymmetry Err, Fraction, Fraction Err
pion,-0.0007,0.0016,0.0074,0.0002

#Inelastic,Asymmetry, Asymmetry Err, Fraction, Fraction Err
Inelastic,0.0037,0.0009,0.5478,0.0042
