#time accidentals,Asymmetry, Asymmetry Err, Fraction, Fraction Err
time accidentals,-0.0008,0.0203,0.0623,0.0036

#Nitrogen, Fraction, Fraction Err
Nitrogen,0.0128,0.0049

#pion,Asymmetry, Asymmetry Err, Fraction, Fraction Err
pion,0.0002,0.0035,0.0086,0.0007

#Inelastic,Asymmetry, Asymmetry Err, Fraction, Fraction Err
Inelastic,0.0027,0.0022,0.6033,0.0139
