#time accidentals,Asymmetry, Asymmetry Err, Fraction, Fraction Err
time accidentals,0.0056,0.0066,0.0903,0.0017

#Nitrogen, Fraction, Fraction Err
Nitrogen,0.0141,0.0019

#pion,Asymmetry, Asymmetry Err, Fraction, Fraction Err
pion,-0.0009,0.0017,0.0075,0.0002

#Inelastic,Asymmetry, Asymmetry Err, Fraction, Fraction Err
Inelastic,0.0037,0.0009,0.5463,0.0050
