#time accidentals,Asymmetry, Asymmetry Err, Fraction, Fraction Err
time accidentals,0.0058,0.0055,0.0945,0.0015

#Nitrogen, Fraction, Fraction Err
Nitrogen,0.0172,0.0018

#pion,Asymmetry, Asymmetry Err, Fraction, Fraction Err
pion,-0.0001,0.0016,0.0075,0.0002

#Inelastic,Asymmetry, Asymmetry Err, Fraction, Fraction Err
Inelastic,0.0037,0.0009,0.5425,0.0043
